Claim_ID,Policy_ID,Accident_Date,FNOL_Date,Claim_Type,Claim_Complexity,Fraud_Flag,Litigation_Flag,Estimated_Claim_Amount,Ultimate_Claim_Amount,Severity_Band,Settlement_Date,Status,Settlement_Date_missing,FNOL_Month_Num,FNOL_DayOfWeek,FNOL_IsWeekend,Ultimate_Claim_Amount_Capped,is_extreme_claim,Customer_ID,Age_of_Driver,Gender,Occupation,Region,Annual_Mileage,Driving_Experience_Years,Vehicle_Type,Vehicle_Age,Credit_Score_Band,num_third_parties,max_injury_severity,has_minor,has_serious,has_fatality,has_pedestrian,has_passenger,has_driver
CLM30000,POL14506,2019-12-19,2019-12-19,Theft,Medium,False,True,5243,2808.0,Minor,2020-03-01,settled,0,12,3,False,2808.0,False,CUST24506,53,Female,Retired,Glasgow,4891,34,Hatchback,6,Excellent,1.0,1.0,True,False,False,True,False,False
CLM30001,POL14338,2018-12-30,2018-12-31,Collision,Low,False,False,3934,2952.0,Minor,2019-03-23,settled,0,12,0,False,2952.0,False,CUST24338,43,Female,Employed,Newcastle,18408,23,Van,9,Fair,,,,,,,,
CLM30002,POL13575,2021-10-19,2021-10-19,Other,Medium,False,False,153631,156497.0,Catastrophic,2022-04-22,settled,0,10,1,False,156497.0,False,CUST23575,19,Female,Unemployed,Newcastle,10793,0,SUV,5,Excellent,1.0,1.0,True,False,False,False,True,False
CLM30003,POL10138,2021-06-18,2021-06-18,Weather,Low,False,False,2812,1450.0,Minor,2021-09-13,settled,0,6,4,False,1450.0,False,CUST20138,26,Male,Employed,Newcastle,9405,5,Hatchback,13,Good,,,,,,,,
CLM30004,POL12316,2021-03-21,2021-03-24,Theft,Low,False,False,5094,4243.0,Minor,2021-05-26,settled,0,3,2,False,4243.0,False,CUST22316,27,Female,Unemployed,Leeds,16729,9,Hatchback,12,Excellent,,,,,,,,
CLM30005,POL14720,2020-04-12,2020-04-13,Weather,Low,False,False,2568,1796.0,Minor,2020-06-15,settled,0,4,0,False,1796.0,False,CUST24720,51,Female,Employed,Newcastle,12094,32,Hatchback,12,Excellent,,,,,,,,
CLM30006,POL14632,2019-11-12,2019-11-15,Weather,Medium,False,False,18782,18386.0,Major,2020-05-19,settled,0,11,4,False,18386.0,False,CUST24632,36,Female,Employed,Liverpool,11632,14,Hatchback,7,Excellent,,,,,,,,
CLM30007,POL12314,2024-10-30,2024-11-02,Fire,Low,False,False,15957,13825.0,Minor,2024-12-22,settled,0,11,5,True,13825.0,False,CUST22314,64,Female,Self-Employed,Bristol,14576,45,Sedan,3,Excellent,1.0,1.0,True,False,False,True,False,False
CLM30008,POL13933,2019-09-10,2019-09-14,Vandalism,Medium,False,False,1357,1013.0,Minor,2020-02-19,settled,0,9,5,True,1013.0,False,CUST23933,54,Male,Employed,Bristol,7822,36,Coupe,1,Fair,,,,,,,,
CLM30009,POL11507,2025-05-03,2025-05-04,Collision,Low,False,False,2799,1781.0,Minor,2025-06-22,settled,0,5,6,True,1781.0,False,CUST21507,29,Male,Employed,Cardiff,16896,7,Van,5,Fair,,,,,,,,
CLM30010,POL14196,2023-06-13,2023-06-14,Collision,Low,False,False,1890,978.0,Minor,2023-08-07,settled,0,6,2,False,978.0,False,CUST24196,42,Male,Employed,Cardiff,15004,24,Hatchback,15,Excellent,,,,,,,,
CLM30011,POL14722,2019-01-27,2019-01-28,Collision,Low,False,False,27742,27274.0,Severe,2019-04-18,settled,0,1,0,False,27274.0,False,CUST24722,46,Female,Employed,Birmingham,13894,26,Hatchback,7,Excellent,,,,,,,,
CLM30012,POL12085,2019-01-19,2019-01-19,Collision,Low,False,False,1442,1075.0,Minor,2019-03-02,settled,0,1,5,True,1075.0,False,CUST22085,27,Female,Unemployed,Birmingham,11886,9,Hatchback,13,Good,1.0,1.0,True,False,False,True,False,False
CLM30013,POL11147,2019-10-07,2019-10-07,Weather,Low,True,False,6298,4414.0,Moderate,2019-12-15,settled,0,10,0,False,4414.0,False,CUST21147,35,Male,Employed,Birmingham,17196,14,Sedan,11,Excellent,,,,,,,,
CLM30014,POL14639,2021-03-02,2021-03-02,Theft,Low,False,False,3911,3464.0,Minor,2021-05-29,settled,0,3,1,False,3464.0,False,CUST24639,74,Male,Retired,Leeds,15590,55,Motorcycle,20,Fair,,,,,,,,
CLM30015,POL12259,2021-04-28,2021-04-28,Collision,Medium,False,False,2232,1244.0,Minor,2021-08-08,settled,0,4,2,False,1244.0,False,CUST22259,34,Female,Employed,Edinburgh,12801,12,Sedan,2,Fair,1.0,1.0,True,False,False,False,False,True
CLM30016,POL10930,2024-05-19,2024-05-20,Collision,Low,False,True,1703,1276.0,Minor,2024-06-20,settled,0,5,0,False,1276.0,False,CUST20930,67,Female,Retired,Leeds,14685,45,Coupe,19,Excellent,2.0,1.0,True,False,False,False,True,True
CLM30017,POL12157,2025-06-19,2025-06-24,Theft,High,False,False,3686,2232.0,Minor,2026-06-02,settled,0,6,1,False,2232.0,False,CUST22157,72,Male,Retired,Leeds,14014,51,Sedan,6,Excellent,,,,,,,,
CLM30018,POL11969,2019-01-05,2019-01-08,Other,Low,False,False,7159,4833.0,Moderate,2019-02-16,settled,0,1,1,False,4833.0,False,CUST21969,48,Male,Self-Employed,Edinburgh,19806,28,Sedan,0,Good,1.0,1.0,True,False,False,False,False,True
CLM30019,POL12185,2025-01-03,2025-01-03,Fire,High,False,False,254781,240233.0,Severe,2025-11-18,settled,0,1,4,False,170896.0200000001,True,CUST22185,40,Male,Employed,Glasgow,9510,22,Hatchback,15,Excellent,,,,,,,,
CLM30020,POL11809,2020-12-11,2020-12-14,Weather,Low,False,False,2374,2069.0,Minor,2021-02-24,settled,0,12,0,False,2069.0,False,CUST21809,42,Female,Self-Employed,Manchester,9647,22,SUV,12,Good,,,,,,,,
CLM30021,POL14555,2024-10-29,2024-10-31,Weather,Medium,True,False,14278,14113.0,Major,2025-01-21,settled,0,10,3,False,14113.0,False,CUST24555,31,Female,Employed,Birmingham,17862,10,Sedan,14,Poor,,,,,,,,
CLM30022,POL14382,2023-06-03,2023-06-03,Fire,Low,False,False,13889,10034.0,Minor,2023-07-13,settled,0,6,5,True,10034.0,False,CUST24382,58,Female,Employed,London,12169,39,Sedan,20,Excellent,,,,,,,,
CLM30023,POL14822,2021-03-09,2021-03-09,Collision,Low,False,False,4254,3052.0,Moderate,2021-05-13,settled,0,3,1,False,3052.0,False,CUST24822,56,Female,Unemployed,Newcastle,9184,38,Van,5,Excellent,,,,,,,,
CLM30024,POL12207,2023-10-02,2023-10-04,Other,Low,False,False,3023,1872.0,Minor,2023-11-30,settled,0,10,2,False,1872.0,False,CUST22207,30,Male,Employed,Manchester,19240,11,SUV,12,Good,1.0,1.0,True,False,False,True,False,False
CLM30025,POL12068,2025-04-28,2025-04-30,Weather,Low,False,False,2909,2078.0,Minor,2025-06-02,settled,0,4,2,False,2078.0,False,CUST22068,43,Female,Employed,Glasgow,12012,22,Sedan,19,Fair,1.0,1.0,True,False,False,False,True,False
